cnv_feature,f_score,p_value
cnv_depth__IBNLCO_03407__Ribosomal__CDS,84.57104745090629,2.9847972499342037e-17
cnv_depth__IBNLCO_03221__30S__CDS,84.5629728122735,2.9936034113807444e-17
cnv_depth__IBNLCO_03272__IBNLCO_03272__gene,84.49736303401528,3.066136381377809e-17
cnv_depth__unknown__unknown__regulatory.13,84.44931510358093,3.1203773902099783e-17
cnv_depth__IBNLCO_01641__IBNLCO_01641__gene,84.31395226558844,3.27845357292041e-17
cnv_depth__IBNLCO_05708__Catalase__CDS,84.31252544714317,3.2801621612664135e-17
cnv_depth__IBNLCO_04666__hcpA__gene,84.22795974513934,3.383049980650379e-17
cnv_depth__IBNLCO_02986__IBNLCO_02986__gene,84.14142242809191,3.49171077400063e-17
cnv_depth__IBNLCO_00358__IBNLCO_00358__gene__promoter,84.07993148739106,3.5710569687586843e-17
cnv_depth__IBNLCO_04572__eamA__gene__promoter,84.05617604256351,3.602195519717076e-17
cnv_depth__IBNLCO_01361__gnl|Bakta|IBNLCO_01361__CDS,83.63585932049754,4.2007954847330623e-17
cnv_depth__IBNLCO_00024__lrgA__gene__promoter,83.51365923142379,4.392990234163282e-17
cnv_depth__IBNLCO_03297__flhA__gene,83.46859370841588,4.4660883090928866e-17
cnv_depth__IBNLCO_00171__IBNLCO_00171__gene,83.44609146996515,4.503046194081468e-17
cnv_depth__IBNLCO_01706__Arginine/ornithine__CDS,83.31803885634785,4.719316470895541e-17
cnv_depth__IBNLCO_03442__50S__CDS,83.16003206004504,5.000688278217047e-17
cnv_depth__IBNLCO_01580__IBNLCO_01580__gene,83.0579636877444,5.1913912804920976e-17
cnv_depth__IBNLCO_01564__IBNLCO_01564__gene,83.01394860245087,5.2758781192233654e-17
cnv_depth__IBNLCO_03462__Methyltransferase__CDS__promoter,82.73869792477596,5.836634523482676e-17
cnv_depth__IBNLCO_03377__Cd(II)/Pb(II)-responsive__CDS,82.69898827516356,5.922357451500217e-17
cnv_depth__IBNLCO_01441__IBNLCO_01441__gene,82.49274913272227,6.388450853034377e-17
cnv_depth__IBNLCO_03340__hypothetical__CDS__promoter,82.48449034674644,6.407867968263953e-17
cnv_depth__IBNLCO_03251__4-hydroxyphenylpyruvate__CDS,82.47292723055997,6.435153982917763e-17
cnv_depth__IBNLCO_04580__Putative__CDS,82.44226165356571,6.508086278748975e-17
cnv_depth__IBNLCO_01568__23S__CDS,82.35811193677665,6.712535946948073e-17
cnv_depth__IBNLCO_00038__IBNLCO_00038__gene,82.18152780723453,7.162893799353344e-17
cnv_depth__IBNLCO_03224__DNA-directed__CDS,82.10308337852254,7.372626557606757e-17
cnv_depth__IBNLCO_02571__hypothetical__CDS,82.00838914108171,7.63408272040832e-17
cnv_depth__IBNLCO_05676__IBNLCO_05676__gene__promoter,81.97063657689985,7.740911379450582e-17
cnv_depth__IBNLCO_03398__ATP__CDS,81.9096094639774,7.91680111034168e-17
cnv_depth__IBNLCO_03027__IBNLCO_03027__gene__promoter,81.87873874096978,8.007306394891551e-17
