feature,cluster
cnv_depth__IBNLCO_05004__bapC__gene,8180
cnv_depth__IBNLCO_05005__bapB__gene,476
cnv_depth__IBNLCO_05004__bapC__gene__promoter,476
cnv_depth__IBNLCO_05006__type__CDS,3980
cnv_depth__IBNLCO_05005__bapB__gene__promoter,1561
cnv_depth__IBNLCO_05006__bapA__gene__promoter,4225
cnv_depth__IBNLCO_05007__SctA__CDS__promoter,1915
cnv_depth__IBNLCO_05008__HNS-like__CDS,3216
cnv_depth__IBNLCO_05008__HNS-like__CDS__promoter,1270
cnv_depth__IBNLCO_05009__IpaC/SipC__CDS__promoter,3643
cnv_depth__IBNLCO_05010__bipB__gene__promoter,2244
cnv_depth__IBNLCO_05011__bicA__gene,4453
cnv_depth__IBNLCO_05011__bicA__gene__promoter,1251
cnv_depth__IBNLCO_05012__bsaZ__gene,1659
cnv_depth__IBNLCO_05012__SctU__CDS__promoter,1013
cnv_depth__IBNLCO_05013__SctT__CDS,2173
cnv_depth__IBNLCO_05013__SctT__CDS__promoter,382
cnv_depth__IBNLCO_05014__bsaX__gene,382
cnv_depth__IBNLCO_05014__SctS__CDS__promoter,925
cnv_depth__IBNLCO_05015__spaP__gene,3230
cnv_depth__IBNLCO_05016__SctQ__CDS,4815
cnv_depth__IBNLCO_05015__spaP__gene__promoter,3981
cnv_depth__IBNLCO_05017__BsaU__CDS,2152
cnv_depth__IBNLCO_05016__bsaV__gene__promoter,3884
cnv_depth__IBNLCO_05018__type__CDS,2387
cnv_depth__IBNLCO_05017__BsaU__CDS__promoter,3165
cnv_depth__IBNLCO_05019__SctN__CDS,2251
cnv_depth__IBNLCO_05018__bsaT__gene__promoter,4012
cnv_depth__IBNLCO_05020__type__CDS,1989
cnv_depth__IBNLCO_05019__bsaS__gene__promoter,3514
cnv_depth__IBNLCO_05020__bsaR__gene__promoter,5814
cnv_depth__IBNLCO_05021__bsaQ__gene__promoter,2066
cnv_depth__IBNLCO_05022__bsaP__gene,1510
cnv_depth__IBNLCO_05022__bsaP__gene__promoter,1886
cnv_depth__IBNLCO_05023__SctC__CDS__promoter,1772
cnv_depth__IBNLCO_05024__IBNLCO_05024__gene__promoter,914
cnv_depth__IBNLCO_05025__Type__CDS__promoter,4315
cnv_depth__IBNLCO_05025__Type__CDS,3998
cnv_depth__IBNLCO_05026__type__CDS__promoter,3087
cnv_depth__IBNLCO_05026__type__CDS,2204
cnv_depth__IBNLCO_05027__bsaK__gene__promoter,1653
cnv_depth__IBNLCO_05027__type__CDS,74
cnv_depth__IBNLCO_05028__basJ__gene__promoter,74
cnv_depth__IBNLCO_05028__SctJ__CDS,3972
cnv_depth__IBNLCO_05029__Type__CDS__promoter,1834
cnv_depth__IBNLCO_05029__Type__CDS,2234
cnv_depth__IBNLCO_05030__SctL__CDS__promoter,1895
cnv_depth__IBNLCO_05030__SctL__CDS,2277
cnv_depth__IBNLCO_05031__IBNLCO_05031__gene__promoter,6949
cnv_depth__IBNLCO_05031__hypothetical__CDS,2385
cnv_depth__IBNLCO_05032__bprP__gene__promoter,3924
cnv_depth__IBNLCO_05032__bprP__gene,1646
cnv_depth__IBNLCO_05033__bprQ__gene__promoter,540
cnv_depth__IBNLCO_05033__bprQ__gene,3649
cnv_depth__IBNLCO_05034__Neutral__CDS__promoter,1786
cnv_depth__IBNLCO_05035__IBNLCO_05035__gene,1490
cnv_depth__IBNLCO_05036__VOC__CDS__promoter,1820
cnv_depth__IBNLCO_05035__Winged__CDS__promoter,1820
cnv_depth__IBNLCO_05036__IBNLCO_05036__gene,2428
cnv_depth__IBNLCO_05037__Putative__CDS__promoter,1476
cnv_depth__IBNLCO_05037__Putative__CDS,2332
cnv_depth__IBNLCO_05038__lysR__gene,4488
cnv_depth__IBNLCO_05039__L-lactate__CDS__promoter,1462
cnv_depth__IBNLCO_05038__lysR__gene__promoter,1470
cnv_depth__IBNLCO_05039__L-lactate__CDS,2608
cnv_depth__IBNLCO_05040__IBNLCO_05040__gene__promoter,2915
cnv_depth__IBNLCO_05041__PE-PGRS__CDS,1913
cnv_depth__IBNLCO_05041__IBNLCO_05041__gene__promoter,1612
cnv_depth__IBNLCO_05042__gnl|Bakta|IBNLCO_05042__CDS,2113
cnv_depth__IBNLCO_05042__gnl|Bakta|IBNLCO_05042__CDS__promoter,2769
cnv_depth__IBNLCO_05043__LysE__CDS,1542
cnv_depth__IBNLCO_05044__decR__gene__promoter,4754
cnv_depth__IBNLCO_05043__lysE__gene__promoter,1935
cnv_depth__IBNLCO_05045__hypothetical__CDS__promoter,1217
cnv_depth__IBNLCO_05045__IBNLCO_05045__gene,3367
cnv_depth__IBNLCO_05046__IBNLCO_05046__gene__promoter,3261
cnv_depth__IBNLCO_05047__Fe2OG__CDS__promoter,1672
cnv_depth__IBNLCO_05047__Fe2OG__CDS,1756
cnv_depth__IBNLCO_05048__Long-chain-fatty-acid-CoA__CDS__promoter,1552
cnv_depth__IBNLCO_05049__N-acyl-homoserine__CDS__promoter,2772
cnv_depth__IBNLCO_05049__N-acyl-homoserine__CDS,3393
cnv_depth__IBNLCO_05050__bspI3__gene__promoter,1228
cnv_depth__IBNLCO_05050__bspI3__gene,1213
cnv_depth__IBNLCO_05051__IBNLCO_05051__gene__promoter,1643
cnv_depth__IBNLCO_05052__Taurine__CDS,3300
cnv_depth__IBNLCO_05052__tauC__gene__promoter,849
cnv_depth__IBNLCO_05053__Taurine__CDS,7791
cnv_depth__IBNLCO_05053__tauB__gene__promoter,2425
cnv_depth__IBNLCO_05054__Taurine__CDS__promoter,2334
cnv_depth__IBNLCO_05055__Taurine__CDS__promoter,951
cnv_depth__IBNLCO_05056__bcsR__gene,1036
cnv_depth__IBNLCO_05056__Cellulose__CDS__promoter,707
cnv_depth__IBNLCO_05057__Cellulose__CDS__promoter,1411
cnv_depth__IBNLCO_05059__yhjQ__gene,2352
cnv_depth__IBNLCO_05058__IBNLCO_05058__gene__promoter,2900
cnv_depth__IBNLCO_05060__hypothetical__CDS,425
cnv_depth__IBNLCO_05059__Cellulose__CDS__promoter,425
cnv_depth__IBNLCO_05061__Cellulose__CDS,0
cnv_depth__IBNLCO_05060__IBNLCO_05060__gene__promoter,1660
cnv_depth__IBNLCO_05061__bcsE__gene__promoter,3894
cnv_depth__IBNLCO_05062__Cellulose__CDS,0
cnv_depth__IBNLCO_05063__gnl|Bakta|IBNLCO_05063__CDS,9386
cnv_depth__IBNLCO_05062__IBNLCO_05062__gene__promoter,4126
cnv_depth__IBNLCO_05063__IBNLCO_05063__gene__promoter,2047
cnv_depth__IBNLCO_05064__Cyclic__CDS,1824
cnv_depth__IBNLCO_05064__IBNLCO_05064__gene__promoter,592
cnv_depth__IBNLCO_05065__IBNLCO_05065__gene__promoter,592
cnv_depth__IBNLCO_05065__hypothetical__CDS,2116
cnv_depth__IBNLCO_05066__hipB__gene__promoter,1295
cnv_depth__IBNLCO_05066__hipB__gene,213
cnv_depth__IBNLCO_05067__Toxin__CDS__promoter,213
cnv_depth__IBNLCO_05067__hipA__gene,1162
cnv_depth__IBNLCO_05068__Transmembrane__CDS,2188
cnv_depth__IBNLCO_05068__Transmembrane__CDS__promoter,2494
cnv_depth__IBNLCO_05069__IBNLCO_05069__gene,2237
cnv_depth__IBNLCO_05070__gnl|Bakta|IBNLCO_05070__CDS__promoter,909
cnv_depth__IBNLCO_05069__HTH__CDS__promoter,909
cnv_depth__IBNLCO_05070__gnl|Bakta|IBNLCO_05070__CDS,1237
cnv_depth__IBNLCO_05071__gnl|Bakta|IBNLCO_05071__CDS__promoter,3825
cnv_depth__IBNLCO_05071__gnl|Bakta|IBNLCO_05071__CDS,2407
cnv_depth__IBNLCO_05072__DNA-binding__CDS,3486
cnv_depth__IBNLCO_05073__hypothetical__CDS__promoter,3856
cnv_depth__IBNLCO_05072__DNA-binding__CDS__promoter,911
cnv_depth__IBNLCO_05074__hypothetical__CDS__promoter,3406
cnv_depth__IBNLCO_05074__IBNLCO_05074__gene,2444
cnv_depth__IBNLCO_05075__DUF2306__CDS__promoter,1039
cnv_depth__IBNLCO_05075__DUF2306__CDS,3131
cnv_depth__IBNLCO_05076__Type__CDS__promoter,2898
cnv_depth__IBNLCO_05078__type__CDS,2278
cnv_depth__IBNLCO_05077__type__CDS__promoter,3988
cnv_depth__IBNLCO_05078__type__CDS__promoter,5920
cnv_depth__IBNLCO_05079__pilS__gene,1267
cnv_depth__IBNLCO_05079__type__CDS__promoter,2005
cnv_depth__IBNLCO_05080__type__CDS__promoter,3824
cnv_depth__IBNLCO_05082__pilP__gene,3866
cnv_depth__IBNLCO_05081__type__CDS__promoter,1870
cnv_depth__IBNLCO_05083__pilO__gene,3262
cnv_depth__IBNLCO_05082__type__CDS__promoter,1553
cnv_depth__IBNLCO_05083__type__CDS__promoter,642
cnv_depth__IBNLCO_05084__pilN__gene,1256
cnv_depth__IBNLCO_05085__pilL__gene,1742
cnv_depth__IBNLCO_05084__type__CDS__promoter,2890
cnv_depth__IBNLCO_05085__type__CDS__promoter,1762
cnv_depth__IBNLCO_05086__pilT__gene__promoter,1487
cnv_depth__IBNLCO_05087__Secretion__CDS,2157
cnv_depth__IBNLCO_05088__Phosphate__CDS,2129
cnv_depth__IBNLCO_05087__IBNLCO_05087__gene__promoter,5846
cnv_depth__IBNLCO_05088__phoB__gene__promoter,4662
cnv_depth__IBNLCO_05089__histidine__CDS,3189
cnv_depth__IBNLCO_05089__IBNLCO_05089__gene__promoter,1522
cnv_depth__IBNLCO_05090__hypothetical__CDS,1508
cnv_depth__IBNLCO_05090__IBNLCO_05090__gene__promoter,4691
cnv_depth__IBNLCO_05091__IBNLCO_05091__gene__promoter,890
cnv_depth__IBNLCO_05091__IBNLCO_05091__gene,1790
cnv_depth__IBNLCO_05092__N-acetyltransferase__CDS,2675
cnv_depth__IBNLCO_05092__N-acetyltransferase__CDS__promoter,71
cnv_depth__IBNLCO_05093__IBNLCO_05093__gene__promoter,71
cnv_depth__IBNLCO_05093__IBNLCO_05093__gene,3326
cnv_depth__IBNLCO_05095__Tir__CDS,860
cnv_depth__IBNLCO_05095__IBNLCO_05095__gene__promoter,1888
cnv_depth__IBNLCO_05096__IBNLCO_05096__gene,826
cnv_depth__IBNLCO_05096__IBNLCO_05096__gene__promoter,2246
cnv_depth__IBNLCO_05097__Type__CDS,3195
cnv_depth__IBNLCO_05097__Type__CDS__promoter,1670
cnv_depth__IBNLCO_05098__Serine__CDS,2062
cnv_depth__IBNLCO_05098__IBNLCO_05098__gene__promoter,1622
cnv_depth__IBNLCO_05099__IBNLCO_05099__gene,920
cnv_depth__IBNLCO_05100__Type__CDS,184
cnv_depth__IBNLCO_05099__IBNLCO_05099__gene__promoter,184
cnv_depth__IBNLCO_05100__IBNLCO_05100__gene__promoter,1538
cnv_depth__IBNLCO_05101__Hypersensitivity__CDS,1944
cnv_depth__IBNLCO_05102__Type__CDS,1444
cnv_depth__IBNLCO_05101__hrcR__gene__promoter,1954
cnv_depth__IBNLCO_05102__sctQ__gene__promoter,1473
cnv_depth__IBNLCO_05103__Type__CDS,1764
cnv_depth__IBNLCO_05103__sctP__gene__promoter,1976
cnv_depth__IBNLCO_05105__bsaZ__gene,2212
cnv_depth__IBNLCO_05104__hrcV__gene__promoter,2264
cnv_depth__IBNLCO_05105__bsaZ__gene__promoter,386
cnv_depth__IBNLCO_05106__hrpB1__gene__promoter,386
cnv_depth__IBNLCO_05106__HrpB1__CDS,1808
cnv_depth__IBNLCO_05107__IBNLCO_05107__gene__promoter,4671
cnv_depth__IBNLCO_05107__Serine__CDS,2042
cnv_depth__IBNLCO_05108__IBNLCO_05108__gene__promoter,4740
cnv_depth__IBNLCO_05108__hypothetical__CDS,1095
cnv_depth__IBNLCO_05109__hrpB4__gene__promoter,1564
cnv_depth__IBNLCO_05109__Type__CDS,2369
cnv_depth__IBNLCO_05110__IBNLCO_05110__gene__promoter,2342
cnv_depth__IBNLCO_05110__Type__CDS,1026
cnv_depth__IBNLCO_05111__IBNLCO_05111__gene__promoter,4585
cnv_depth__IBNLCO_05111__Type__CDS,3232
cnv_depth__IBNLCO_05112__hrpB7__gene__promoter,3325
cnv_depth__IBNLCO_05112__Type__CDS,957
cnv_depth__IBNLCO_05113__IBNLCO_05113__gene__promoter,3619
cnv_depth__IBNLCO_05113__hypothetical__CDS,1312
cnv_depth__IBNLCO_05114__IBNLCO_05114__gene__promoter,3076
cnv_depth__IBNLCO_05115__TauD/TfdA-like__CDS__promoter,2306
cnv_depth__IBNLCO_05117__non-ribosomal__CDS,1912
cnv_depth__IBNLCO_05116__non-ribosomal__CDS__promoter,1681
cnv_depth__IBNLCO_05118__IBNLCO_05118__gene,3034
cnv_depth__IBNLCO_05117__non-ribosomal__CDS__promoter,455
cnv_depth__IBNLCO_05119__Non-ribosomal__CDS,1244
cnv_depth__IBNLCO_05118__Carrier__CDS__promoter,2498
cnv_depth__IBNLCO_05119__Non-ribosomal__CDS__promoter,3477
cnv_depth__IBNLCO_05120__IBNLCO_05120__gene,2314
cnv_depth__IBNLCO_05120__Diaminobutyrate--2-oxoglutarate__CDS__promoter,3505
cnv_depth__IBNLCO_05121__IBNLCO_05121__gene,1099
cnv_depth__IBNLCO_05121__Pyruvate__CDS__promoter,4879
cnv_depth__IBNLCO_05122__4-hydroxybutyrate__CDS,2060
cnv_depth__IBNLCO_05122__4-hydroxybutyrate__CDS__promoter,1014
cnv_depth__IBNLCO_05123__maoC__gene,1925
cnv_depth__IBNLCO_05123__MaoC__CDS__promoter,1814
cnv_depth__IBNLCO_05124__IBNLCO_05124__gene,1562
cnv_depth__IBNLCO_05124__hypothetical__CDS__promoter,2386
cnv_depth__IBNLCO_05125__LysR-family__CDS,836
cnv_depth__IBNLCO_05125__LysR-family__CDS__promoter,1565
cnv_depth__IBNLCO_05126__hypothetical__CDS__promoter,1486
cnv_depth__IBNLCO_05126__IBNLCO_05126__gene,2773
cnv_depth__IBNLCO_05128__High-copy__CDS__promoter,2279
cnv_depth__IBNLCO_05127__HTH__CDS__promoter,1594
cnv_depth__IBNLCO_05128__High-copy__CDS,3495
cnv_depth__IBNLCO_05129__hypothetical__CDS__promoter,1512
cnv_depth__IBNLCO_05129__IBNLCO_05129__gene,2290
cnv_depth__IBNLCO_05130__histidine__CDS,2104
cnv_depth__IBNLCO_05130__histidine__CDS__promoter,3628
cnv_depth__IBNLCO_05131__IBNLCO_05131__gene,3843
cnv_depth__IBNLCO_05132__FIST__CDS,3103
cnv_depth__IBNLCO_05131__hypothetical__CDS__promoter,2757
cnv_depth__IBNLCO_05132__FIST__CDS__promoter,2785
cnv_depth__IBNLCO_05133__rpoS__gene,2770
cnv_depth__IBNLCO_05133__Regulator__CDS__promoter,1029
cnv_depth__IBNLCO_05134__IBNLCO_05134__gene__promoter,1401
cnv_depth__IBNLCO_05134__Ricin__CDS,1068
cnv_depth__IBNLCO_05135__Cytochrome__CDS__promoter,8072
cnv_depth__IBNLCO_05135__IBNLCO_05135__gene,2363
cnv_depth__IBNLCO_05136__IBNLCO_05136__gene__promoter,3498
cnv_depth__IBNLCO_05137__IBNLCO_05137__gene,2225
cnv_depth__IBNLCO_05137__IBNLCO_05137__gene__promoter,7802
cnv_depth__IBNLCO_05138__hypothetical__CDS,1330
cnv_depth__IBNLCO_05139__4-hydroxybenzoate__CDS,2233
cnv_depth__IBNLCO_05138__IBNLCO_05138__gene__promoter,2018
cnv_depth__IBNLCO_05139__IBNLCO_05139__gene__promoter,2959
cnv_depth__IBNLCO_05141__IBNLCO_05141__gene__promoter,953
cnv_depth__IBNLCO_05140__IBNLCO_05140__gene__promoter,953
cnv_depth__IBNLCO_05141__hypothetical__CDS,674
cnv_depth__IBNLCO_05142__IBNLCO_05142__gene__promoter,2771
cnv_depth__IBNLCO_05143__IBNLCO_05143__gene__promoter,1557
cnv_depth__IBNLCO_05144__IBNLCO_05144__gene__promoter,1015
cnv_depth__IBNLCO_05144__DUF1842__CDS,1395
cnv_depth__IBNLCO_05145__Tlde1__CDS__promoter,1122
cnv_depth__IBNLCO_05145__IBNLCO_05145__gene,430
cnv_depth__IBNLCO_05146__IBNLCO_05146__gene__promoter,430
cnv_depth__IBNLCO_05146__IBNLCO_05146__gene,430
cnv_depth__IBNLCO_05147__trnU__gene,2089
cnv_depth__IBNLCO_05147__trnU__gene__promoter,1272
cnv_depth__IBNLCO_05148__IBNLCO_05148__gene,1223
cnv_depth__IBNLCO_05149__IBNLCO_05149__gene,2781
cnv_depth__IBNLCO_05148__IBNLCO_05148__gene__promoter,3900
cnv_depth__IBNLCO_05149__L-seryl-tRNA(Sec)__CDS__promoter,1240
cnv_depth__IBNLCO_05150__IBNLCO_05150__gene__promoter,2226
cnv_depth__IBNLCO_05151__IBNLCO_05151__gene,1091
cnv_depth__IBNLCO_05152__IBNLCO_05152__gene,1224
cnv_depth__IBNLCO_05151__IBNLCO_05151__gene__promoter,1112
cnv_depth__IBNLCO_05152__Formate__CDS__promoter,2114
cnv_depth__unknown__unknown__regulatory.18,715
cnv_depth__IBNLCO_05153__Formate__CDS__promoter,1936
cnv_depth__IBNLCO_05154__hypothetical__CDS,1332
cnv_depth__IBNLCO_05154__hypothetical__CDS__promoter,2122
cnv_depth__IBNLCO_05155__DUF218__CDS,1410
cnv_depth__IBNLCO_05155__DUF218__CDS__promoter,2912
cnv_depth__IBNLCO_05156__IBNLCO_05156__gene,842
cnv_depth__IBNLCO_05156__IBNLCO_05156__gene__promoter,1679
cnv_depth__IBNLCO_05157__IBNLCO_05157__gene,2424
cnv_depth__IBNLCO_05157__IBNLCO_05157__gene__promoter,2006
cnv_depth__IBNLCO_05158__moxC__gene,2323
cnv_depth__IBNLCO_05158__moxC__gene__promoter,1002
cnv_depth__IBNLCO_05159__Luciferase-like__CDS,3982
cnv_depth__IBNLCO_05159__IBNLCO_05159__gene__promoter,1171
cnv_depth__IBNLCO_05160__IBNLCO_05160__gene,1353
cnv_depth__IBNLCO_05160__IBNLCO_05160__gene__promoter,2570
cnv_depth__IBNLCO_05161__IBNLCO_05161__gene,1048
cnv_depth__IBNLCO_05161__IBNLCO_05161__gene__promoter,2224
cnv_depth__IBNLCO_05162__IBNLCO_05162__gene,1392
cnv_depth__IBNLCO_05162__IBNLCO_05162__gene__promoter,1261
cnv_depth__IBNLCO_05163__IBNLCO_05163__gene__promoter,3736
cnv_depth__IBNLCO_05163__IBNLCO_05163__gene,788
cnv_depth__IBNLCO_05164__IBNLCO_05164__gene__promoter,1990
cnv_depth__IBNLCO_05165__IBNLCO_05165__gene__promoter,2433
cnv_depth__IBNLCO_05165__Porin__CDS,1513
cnv_depth__IBNLCO_05166__IBNLCO_05166__gene__promoter,845
cnv_depth__IBNLCO_05167__IBNLCO_05167__gene,1551
cnv_depth__IBNLCO_05167__IBNLCO_05167__gene__promoter,1198
cnv_depth__IBNLCO_05168__IBNLCO_05168__gene__promoter,2065
cnv_depth__IBNLCO_05169__IBNLCO_05169__gene,1464
cnv_depth__IBNLCO_05169__IBNLCO_05169__gene__promoter,4649
cnv_depth__IBNLCO_05170__Bacteriophage__CDS,1828
cnv_depth__IBNLCO_05170__Bacteriophage__CDS__promoter,646
cnv_depth__IBNLCO_05171__IBNLCO_05171__gene__promoter,646
cnv_depth__IBNLCO_05172__IBNLCO_05172__gene,840
cnv_depth__IBNLCO_05172__Glycosyltransferase__CDS__promoter,2075
cnv_depth__IBNLCO_05173__Polysaccharide__CDS__promoter,1030
cnv_depth__IBNLCO_05174__NHL__CDS__promoter,1559
cnv_depth__IBNLCO_05175__IBNLCO_05175__gene__promoter,3751
cnv_depth__IBNLCO_05175__IBNLCO_05175__gene,1337
cnv_depth__IBNLCO_05176__GDP-mannose__CDS__promoter,1770
cnv_depth__IBNLCO_05177__IBNLCO_05177__gene__promoter,3286
cnv_depth__IBNLCO_05177__IBNLCO_05177__gene,1246
cnv_depth__IBNLCO_05178__Mannose-6-phosphate__CDS,1891
cnv_depth__IBNLCO_05178__IBNLCO_05178__gene__promoter,3895
cnv_depth__IBNLCO_05179__IBNLCO_05179__gene,3324
cnv_depth__IBNLCO_05180__Bp2_287__gene__promoter,863
cnv_depth__IBNLCO_05179__IBNLCO_05179__gene__promoter,176
cnv_depth__IBNLCO_05180__Burkholderia__ncRNA,176
cnv_depth__IBNLCO_05181__IBNLCO_05181__gene,4030
cnv_depth__IBNLCO_05181__IBNLCO_05181__gene__promoter,4720
cnv_depth__IBNLCO_05182__IBNLCO_05182__gene__promoter,1032
cnv_depth__IBNLCO_05183__IBNLCO_05183__gene__promoter,1321
cnv_depth__IBNLCO_05184__IBNLCO_05184__gene__promoter,2531
cnv_depth__IBNLCO_05185__IBNLCO_05185__gene,2036
cnv_depth__IBNLCO_05185__IBNLCO_05185__gene__promoter,2439
cnv_depth__IBNLCO_05186__IBNLCO_05186__gene__promoter,3973
cnv_depth__IBNLCO_05187__IBNLCO_05187__gene__promoter,2174
cnv_depth__IBNLCO_05188__IBNLCO_05188__gene__promoter,2288
cnv_depth__IBNLCO_05189__IBNLCO_05189__gene,1994
cnv_depth__IBNLCO_05190__IBNLCO_05190__gene,1640
cnv_depth__IBNLCO_05189__IBNLCO_05189__gene__promoter,3335
cnv_depth__IBNLCO_05191__FimV__CDS,4337
cnv_depth__IBNLCO_05190__IBNLCO_05190__gene__promoter,1867
cnv_depth__IBNLCO_05191__fimV__gene__promoter,2149
cnv_depth__IBNLCO_05193__IBNLCO_05193__gene__promoter,3098
cnv_depth__IBNLCO_05192__IBNLCO_05192__gene__promoter,522
cnv_depth__IBNLCO_05193__IBNLCO_05193__gene,522
cnv_depth__IBNLCO_05194__IBNLCO_05194__gene__promoter,1548
cnv_depth__IBNLCO_05195__3-isopropylmalate__CDS,787
cnv_depth__IBNLCO_05195__IBNLCO_05195__gene__promoter,148
cnv_depth__IBNLCO_05196__gnl|Bakta|IBNLCO_05196__CDS,148
cnv_depth__IBNLCO_05196__IBNLCO_05196__gene__promoter,1583
cnv_depth__IBNLCO_05197__IBNLCO_05197__gene__promoter,1455
cnv_depth__IBNLCO_05198__IBNLCO_05198__gene__promoter,2368
cnv_depth__IBNLCO_05199__IBNLCO_05199__gene__promoter,1991
cnv_depth__IBNLCO_05200__Leucine-responsive__CDS,1540
cnv_depth__IBNLCO_05201__IBNLCO_05201__gene__promoter,1024
cnv_depth__IBNLCO_05200__IBNLCO_05200__gene__promoter,1024
cnv_depth__IBNLCO_05202__DUF1479__CDS,3861
cnv_depth__IBNLCO_05202__IBNLCO_05202__gene__promoter,2118
cnv_depth__IBNLCO_05203__VOC__CDS,2955
cnv_depth__IBNLCO_05204__araC__gene__promoter,657
cnv_depth__IBNLCO_05203__IBNLCO_05203__gene__promoter,2656
cnv_depth__IBNLCO_05204__AraC__CDS,1869
cnv_depth__IBNLCO_05205__Citrate__CDS,1114
cnv_depth__IBNLCO_05205__IBNLCO_05205__gene__promoter,169
cnv_depth__IBNLCO_05206__FAD__CDS,169
cnv_depth__IBNLCO_05206__sdhE__gene__promoter,1185
cnv_depth__IBNLCO_05207__Succinate__CDS,2602
cnv_depth__IBNLCO_05207__IBNLCO_05207__gene__promoter,851
cnv_depth__IBNLCO_05208__Succinate__CDS,4736
cnv_depth__IBNLCO_05208__IBNLCO_05208__gene__promoter,137
cnv_depth__IBNLCO_05209__Succinate__CDS,137
cnv_depth__IBNLCO_05209__IBNLCO_05209__gene__promoter,81
cnv_depth__IBNLCO_05210__Succinate__CDS,81
cnv_depth__IBNLCO_05210__IBNLCO_05210__gene__promoter,1988
cnv_depth__IBNLCO_05211__HTH__CDS,2690
cnv_depth__IBNLCO_05211__IBNLCO_05211__gene__promoter,2275
cnv_depth__IBNLCO_05212__IBNLCO_05212__gene__promoter,780
cnv_depth__IBNLCO_05212__Malate__CDS,1586
cnv_depth__IBNLCO_05213__IBNLCO_05213__gene__promoter,611
cnv_depth__IBNLCO_05213__Citrate__CDS,506
cnv_depth__IBNLCO_05214__IBNLCO_05214__gene__promoter,2120
cnv_depth__IBNLCO_05214__Exported__CDS,928
cnv_depth__IBNLCO_05215__IBNLCO_05215__gene__promoter,1894
cnv_depth__IBNLCO_05216__Aconitate__CDS__promoter,1558
cnv_depth__IBNLCO_05216__Aconitate__CDS,3354
cnv_depth__IBNLCO_05217__Filamentous__CDS,1803
cnv_depth__IBNLCO_05217__IBNLCO_05217__gene__promoter,1955
cnv_depth__IBNLCO_05218__IBNLCO_05218__gene,908
cnv_depth__IBNLCO_05218__DNA-binding__CDS__promoter,977
cnv_depth__IBNLCO_05219__gnl|Bakta|IBNLCO_05219__CDS,977
cnv_depth__IBNLCO_05219__gnl|Bakta|IBNLCO_05219__CDS__promoter,862
cnv_depth__IBNLCO_05220__Cytochrome__CDS__promoter,1924
cnv_depth__IBNLCO_05221__IBNLCO_05221__gene,637
cnv_depth__IBNLCO_05221__DUF2784__CDS__promoter,3548
cnv_depth__IBNLCO_05222__Tyrosinase__CDS,1875
cnv_depth__IBNLCO_05222__IBNLCO_05222__gene__promoter,239
cnv_depth__IBNLCO_05223__hypothetical__CDS,239
cnv_depth__IBNLCO_05224__IBNLCO_05224__gene,2064
cnv_depth__IBNLCO_05223__IBNLCO_05223__gene__promoter,926
cnv_depth__IBNLCO_05224__IBNLCO_05224__gene__promoter,2291
cnv_depth__IBNLCO_05225__hypothetical__CDS__promoter,1638
cnv_depth__IBNLCO_05225__hypothetical__CDS,695
cnv_depth__IBNLCO_05226__IBNLCO_05226__gene__promoter,855
cnv_depth__IBNLCO_05226__gnl|Bakta|IBNLCO_05226__CDS,2922
cnv_depth__IBNLCO_05227__ydcV__gene,2752
cnv_depth__IBNLCO_05227__Inner__CDS__promoter,1306
cnv_depth__IBNLCO_05228__potB__gene,2176
cnv_depth__IBNLCO_05228__Spermidine__CDS__promoter,4235
cnv_depth__IBNLCO_05229__IBNLCO_05229__gene,2190
cnv_depth__IBNLCO_05229__Spermidine/putrescine-binding__CDS__promoter,1424
cnv_depth__IBNLCO_05230__Spermidine/putrescine__CDS,2576
cnv_depth__IBNLCO_05231__Transcriptional__CDS__promoter,1203
cnv_depth__IBNLCO_05230__Spermidine/putrescine__CDS__promoter,1985
cnv_depth__IBNLCO_05231__gntR__gene,3474
cnv_depth__IBNLCO_05232__hypothetical__CDS,1843
cnv_depth__IBNLCO_05232__hypothetical__CDS__promoter,3075
cnv_depth__IBNLCO_05233__IBNLCO_05233__gene,1360
cnv_depth__IBNLCO_05233__Triacylglycerol__CDS__promoter,1383
cnv_depth__IBNLCO_05234__Enterobactin__CDS__promoter,701
cnv_depth__IBNLCO_05235__DUF2946__CDS,629
cnv_depth__IBNLCO_05235__DUF2946__CDS__promoter,679
cnv_depth__IBNLCO_05236__IBNLCO_05236__gene,3279
cnv_depth__IBNLCO_05236__Cytochrome__CDS__promoter,323
cnv_depth__IBNLCO_05237__Integral__CDS__promoter,323
cnv_depth__IBNLCO_05237__IBNLCO_05237__gene,2013
cnv_depth__IBNLCO_05238__lysM__gene,3414
cnv_depth__IBNLCO_05238__LysM__CDS__promoter,1584
cnv_depth__IBNLCO_05239__IBNLCO_05239__gene,1812
cnv_depth__IBNLCO_05239__Mannose-6-phosphate__CDS__promoter,1789
cnv_depth__IBNLCO_05240__Purine__CDS,2255
cnv_depth__IBNLCO_05240__Purine__CDS__promoter,1779
cnv_depth__IBNLCO_05241__IBNLCO_05241__gene__promoter,1947
cnv_depth__IBNLCO_05242__tRNA__CDS,1709
cnv_depth__IBNLCO_05242__IBNLCO_05242__gene__promoter,3196
cnv_depth__IBNLCO_05243__IBNLCO_05243__gene,4574
cnv_depth__IBNLCO_05244__IBNLCO_05244__gene,2050
cnv_depth__IBNLCO_05243__IBNLCO_05243__gene__promoter,1930
